484
-24500	-24500	1651.56748673013
-21500	-24500	1390.07898013665
-18500	-24500	903.435923218466
-15500	-24500	453.387938020768
-12500	-24500	175.694147854870
-9500	-24500	52.5725880957740
-6500	-24500	12.1471990011728
-3500	-24500	2.16724326881813
-500	-24500	0.298575320127627
2500	-24500	0.0317625146182660
5500	-24500	0.00260909911037761
8500	-24500	0.000165493523647193
11500	-24500	8.10561844987848e-06
14500	-24500	3.06553329786397e-07
17500	-24500	8.95242407384656e-09
20500	-24500	2.01878459707578e-10
23500	-24500	3.51523242950377e-12
26500	-24500	4.72642580815114e-14
29500	-24500	4.90712410525184e-16
32500	-24500	3.93467091730760e-18
35500	-24500	2.49141039187616e-20
38500	-24500	5.73872509532887e-22
-24500	-21500	1689.14896131556
-21500	-21500	1421.71027482094
-18500	-21500	923.993638516690
-15500	-21500	463.704796040178
-12500	-21500	179.692074191801
-9500	-21500	53.7688791340067
-6500	-21500	12.4236089294468
-3500	-21500	2.21655896344275
-500	-21500	0.305369411737792
2500	-21500	0.0324852717235534
5500	-21500	0.00266846924977268
8500	-21500	0.000169259334431779
11500	-21500	8.29006207462961e-06
14500	-21500	3.13528961279115e-07
17500	-21500	9.15613678970434e-09
20500	-21500	2.06472211150730e-10
23500	-21500	3.59522184670853e-12
26500	-21500	4.83399248651918e-14
29500	-21500	5.02026628025642e-16
32500	-21500	4.15185973429389e-18
35500	-21500	1.32542940249426e-19
38500	-21500	8.79177660743036e-20
-24500	-18500	1689.14896131556
-21500	-18500	1421.71027482094
-18500	-18500	923.993638516690
-15500	-18500	463.704796040178
-12500	-18500	179.692074191801
-9500	-18500	53.7688791340067
-6500	-18500	12.4236089294468
-3500	-18500	2.21655896344275
-500	-18500	0.305369411737792
2500	-18500	0.0324852717235534
5500	-18500	0.00266846924977271
8500	-18500	0.000169259334431807
11500	-18500	8.29006207465935e-06
14500	-18500	3.13528961309408e-07
17500	-18500	9.15613681971874e-09
20500	-18500	2.06472240073818e-10
23500	-18500	3.59524895461272e-12
26500	-18500	4.83646354765278e-14
29500	-18500	5.23934858560982e-16
32500	-18500	2.30434004671950e-17
35500	-18500	1.59765023149590e-17
38500	-18500	1.30118992073528e-17
-24500	-15500	1651.56748673013
-21500	-15500	1390.07898013665
-18500	-15500	903.435923218466
-15500	-15500	453.387938020768
-12500	-15500	175.694147854870
-9500	-15500	52.5725880957740
-6500	-15500	12.1471990011728
-3500	-15500	2.16724326881813
-500	-15500	0.298575320127629
2500	-15500	0.0317625146182687
5500	-15500	0.00260909911038065
8500	-15500	0.000165493523650464
11500	-15500	8.10561845330468e-06
14500	-15500	3.06553333276630e-07
17500	-15500	8.95242753191215e-09
20500	-15500	2.01881792039441e-10
23500	-15500	3.51835562758621e-12
26500	-15500	5.01112555259719e-14
29500	-15500	3.01483759297622e-15
32500	-15500	2.18049628881219e-15
35500	-15500	1.82546384140219e-15
38500	-15500	1.48901845511298e-15
-24500	-12500	1578.89435839142
-21500	-12500	1328.91200455976
-18500	-12500	863.682467594415
-15500	-12500	433.437727041356
-12500	-12500	167.963162922068
-9500	-12500	50.2592618330089
-6500	-12500	11.6126916564469
-3500	-12500	2.07187910751005
-500	-12500	0.285437254179736
2500	-12500	0.0303648839919917
5500	-12500	0.00249429217964240
8500	-12500	0.000158211392155460
11500	-12500	7.74895112953793e-06
14500	-12500	2.93064519736336e-07
17500	-12500	8.55880044139306e-09
20500	-12500	1.93289759203140e-10
23500	-12500	3.63653341953475e-12
26500	-12500	2.96758228793744e-13
29500	-12500	2.23512366944403e-13
32500	-12500	1.92334702242291e-13
35500	-12500	1.61304157458501e-13
38500	-12500	1.31576431683712e-13
-24500	-9500	1475.83632471272
-21500	-9500	1242.17088892143
-18500	-9500	807.307944270557
-15500	-9500	405.146258626363
-12500	-9500	156.999824425610
