1 2 1
-5.00000000e+00 0.00000000e+00 0.00000000e+00
5.00000000e+00 0.00000000e+00 0.00000000e+00
2 2 1
0.00000000e+00 -5.00000000e+00 0.00000000e+00
0.00000000e+00 5.00000000e+00 0.00000000e+00
3 5 1
0.00000000e+00 -5.00000000e-01 -5.00000000e-01
0.00000000e+00 5.00000000e-01 -5.00000000e-01
0.00000000e+00 5.00000000e-01 5.00000000e-01
0.00000000e+00 -5.00000000e-01 5.00000000e-01
0.00000000e+00 -5.00000000e-01 -5.00000000e-01
4 5 1
-5.00000000e-01 0.00000000e+00 -5.00000000e-01
-5.00000000e-01 0.00000000e+00 5.00000000e-01
5.00000000e-01 0.00000000e+00 5.00000000e-01
5.00000000e-01 0.00000000e+00 -5.00000000e-01
-5.00000000e-01 0.00000000e+00 -5.00000000e-01
5 2 1
-5.00000000e+00 5.00000000e+02 0.00000000e+00
5.00000000e+00 5.00000000e+02 0.00000000e+00
6 2 1
0.00000000e+00 4.95000000e+02 0.00000000e+00
0.00000000e+00 5.05000000e+02 0.00000000e+00
7 5 1
0.00000000e+00 4.99500000e+02 -5.00000000e-01
0.00000000e+00 5.00500000e+02 -5.00000000e-01
0.00000000e+00 5.00500000e+02 5.00000000e-01
0.00000000e+00 4.99500000e+02 5.00000000e-01
0.00000000e+00 4.99500000e+02 -5.00000000e-01
8 5 1
-5.00000000e-01 5.00000000e+02 -5.00000000e-01
-5.00000000e-01 5.00000000e+02 5.00000000e-01
5.00000000e-01 5.00000000e+02 5.00000000e-01
5.00000000e-01 5.00000000e+02 -5.00000000e-01
-5.00000000e-01 5.00000000e+02 -5.00000000e-01
9 2 1
-5.00000000e+00 1.00000000e+03 0.00000000e+00
5.00000000e+00 1.00000000e+03 0.00000000e+00
10 2 1
0.00000000e+00 9.95000000e+02 0.00000000e+00
0.00000000e+00 1.00500000e+03 0.00000000e+00
11 5 1
0.00000000e+00 9.99500000e+02 -5.00000000e-01
0.00000000e+00 1.00050000e+03 -5.00000000e-01
0.00000000e+00 1.00050000e+03 5.00000000e-01
0.00000000e+00 9.99500000e+02 5.00000000e-01
0.00000000e+00 9.99500000e+02 -5.00000000e-01
12 5 1
-5.00000000e-01 1.00000000e+03 -5.00000000e-01
